DateTime,Junction,Vehicles,ID,temp,humidity,precip,windspeed,holiday
01-11-2015,1,15,20151101001,30.4,54.5,0,18.4,NA
01-11-2015,1,13,20151101011,30.4,54.5,0,18.4,NA
01-11-2015,1,10,20151101021,30.4,54.5,0,18.4,NA
01-11-2015,1,7,20151101031,30.4,54.5,0,18.4,NA
01-11-2015,1,9,20151101041,30.4,54.5,0,18.4,NA
01-11-2015,1,6,20151101051,30.4,54.5,0,18.4,NA
01-11-2015,1,9,20151101061,30.4,54.5,0,18.4,NA
01-11-2015,1,8,20151101071,30.4,54.5,0,18.4,NA
01-11-2015,1,11,20151101081,30.4,54.5,0,18.4,NA
01-11-2015,1,12,20151101091,30.4,54.5,0,18.4,NA
01-11-2015,1,15,20151101101,30.4,54.5,0,18.4,NA
01-11-2015,1,17,20151101111,30.4,54.5,0,18.4,NA
01-11-2015,1,16,20151101121,30.4,54.5,0,18.4,NA
01-11-2015,1,15,20151101131,30.4,54.5,0,18.4,NA
01-11-2015,1,16,20151101141,30.4,54.5,0,18.4,NA
01-11-2015,1,12,20151101151,30.4,54.5,0,18.4,NA
01-11-2015,1,12,20151101161,30.4,54.5,0,18.4,NA
01-11-2015,1,16,20151101171,30.4,54.5,0,18.4,NA
01-11-2015,1,17,20151101181,30.4,54.5,0,18.4,NA
01-11-2015,1,20,20151101191,30.4,54.5,0,18.4,NA
01-11-2015,1,17,20151101201,30.4,54.5,0,18.4,NA
01-11-2015,1,19,20151101211,30.4,54.5,0,18.4,NA
01-11-2015,1,20,20151101221,30.4,54.5,0,18.4,NA
01-11-2015,1,15,20151101231,30.4,54.5,0,18.4,NA
02-11-2015,1,14,20151102001,30.7,56.5,0,18.4,NA
02-11-2015,1,12,20151102011,30.7,56.5,0,18.4,NA
02-11-2015,1,14,20151102021,30.7,56.5,0,18.4,NA
02-11-2015,1,12,20151102031,30.7,56.5,0,18.4,NA
02-11-2015,1,12,20151102041,30.7,56.5,0,18.4,NA
02-11-2015,1,11,20151102051,30.7,56.5,0,18.4,NA
02-11-2015,1,13,20151102061,30.7,56.5,0,18.4,NA
02-11-2015,1,14,20151102071,30.7,56.5,0,18.4,NA
02-11-2015,1,12,20151102081,30.7,56.5,0,18.4,NA
02-11-2015,1,22,20151102091,30.7,56.5,0,18.4,NA
02-11-2015,1,32,20151102101,30.7,56.5,0,18.4,NA
02-11-2015,1,31,20151102111,30.7,56.5,0,18.4,NA
02-11-2015,1,35,20151102121,30.7,56.5,0,18.4,NA
02-11-2015,1,26,20151102131,30.7,56.5,0,18.4,NA
02-11-2015,1,34,20151102141,30.7,56.5,0,18.4,NA
02-11-2015,1,30,20151102151,30.7,56.5,0,18.4,NA
02-11-2015,1,27,20151102161,30.7,56.5,0,18.4,NA
02-11-2015,1,27,20151102171,30.7,56.5,0,18.4,NA
02-11-2015,1,24,20151102181,30.7,56.5,0,18.4,NA
02-11-2015,1,26,20151102191,30.7,56.5,0,18.4,NA
02-11-2015,1,29,20151102201,30.7,56.5,0,18.4,NA
02-11-2015,1,32,20151102211,30.7,56.5,0,18.4,NA
02-11-2015,1,30,20151102221,30.7,56.5,0,18.4,NA
02-11-2015,1,27,20151102231,30.7,56.5,0,18.4,NA
03-11-2015,1,21,20151103001,30.1,59.7,0,18.4,NA
03-11-2015,1,18,20151103011,30.1,59.7,0,18.4,NA
03-11-2015,1,19,20151103021,30.1,59.7,0,18.4,NA
03-11-2015,1,13,20151103031,30.1,59.7,0,18.4,NA
03-11-2015,1,11,20151103041,30.1,59.7,0,18.4,NA
03-11-2015,1,11,20151103051,30.1,59.7,0,18.4,NA
03-11-2015,1,11,20151103061,30.1,59.7,0,18.4,NA
03-11-2015,1,14,20151103071,30.1,59.7,0,18.4,NA
03-11-2015,1,15,20151103081,30.1,59.7,0,18.4,NA
03-11-2015,1,29,20151103091,30.1,59.7,0,18.4,NA
03-11-2015,1,33,20151103101,30.1,59.7,0,18.4,NA
03-11-2015,1,32,20151103111,30.1,59.7,0,18.4,NA
03-11-2015,1,32,20151103121,30.1,59.7,0,18.4,NA
03-11-2015,1,29,20151103131,30.1,59.7,0,18.4,NA
03-11-2015,1,27,20151103141,30.1,59.7,0,18.4,NA
03-11-2015,1,26,20151103151,30.1,59.7,0,18.4,NA
03-11-2015,1,28,20151103161,30.1,59.7,0,18.4,NA
03-11-2015,1,26,20151103171,30.1,59.7,0,18.4,NA
03-11-2015,1,25,20151103181,30.1,59.7,0,18.4,NA
03-11-2015,1,29,20151103191,30.1,59.7,0,18.4,NA
03-11-2015,1,26,20151103201,30.1,59.7,0,18.4,NA
03-11-2015,1,24,20151103211,30.1,59.7,0,18.4,NA
03-11-2015,1,25,20151103221,30.1,59.7,0,18.4,NA
03-11-2015,1,20,20151103231,30.1,59.7,0,18.4,NA
04-11-2015,1,18,20151104001,29.4,65.6,0,18.4,NA
04-11-2015,1,18,20151104011,29.4,65.6,0,18.4,NA
04-11-2015,1,13,20151104021,29.4,65.6,0,18.4,NA
04-11-2015,1,13,20151104031,29.4,65.6,0,18.4,NA
04-11-2015,1,10,20151104041,29.4,65.6,0,18.4,NA
04-11-2015,1,12,20151104051,29.4,65.6,0,18.4,NA
04-11-2015,1,13,20151104061,29.4,65.6,0,18.4,NA
04-11-2015,1,11,20151104071,29.4,65.6,0,18.4,NA
04-11-2015,1,13,20151104081,29.4,65.6,0,18.4,NA
04-11-2015,1,22,20151104091,29.4,65.6,0,18.4,NA
